"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03770099999","2014-04-02","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  57.1","24","  48.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  65.5"," ","  51.6"," "," 0.00","G","999.9","000000"
"03770099999","2014-04-03","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  57.2","24","  49.0","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  66.4"," ","  52.5"," "," 0.00","G","999.9","000000"
"03770099999","2014-04-04","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  55.2","24","  46.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  59.5"," ","  50.5","*"," 0.00","G","999.9","000000"
"03770099999","2014-04-05","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  53.2","24","  47.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  61.0"," ","  43.0"," "," 0.00","G","999.9","000000"
"03770099999","2014-04-06","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  57.0","24","  53.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  59.9"," ","  55.2","*"," 0.06","G","999.9","000000"
"03770099999","2014-04-07","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  55.7","24","  51.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  59.0"," ","  47.8","*"," 0.13","G","999.9","000000"
"03770099999","2014-04-08","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  50.0","24","  37.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  58.3"," ","  43.2"," "," 0.11","G","999.9","000000"
"03770099999","2014-04-09","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  52.5","24","  41.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  64.0"," ","  41.2"," "," 0.01","G","999.9","000000"
"03770099999","2014-04-10","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  53.7","24","  40.0","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  63.5"," ","  43.2"," "," 0.00","G","999.9","000000"
"03770099999","2014-04-11","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  55.5","24","  38.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  63.0"," ","  50.5","*"," 0.00","G","999.9","000000"
"03770099999","2014-04-12","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  51.9","24","  41.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  59.0"," ","  45.3"," "," 0.00","G","999.9","000000"
